fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones
3/01/2022,Pasando EDIRO,San Luis,1/01/2022,Extinguido (01/01/2022),33º 17´ 40´´ S,66º 17´ 24´´ O,Juan Martín de Pueyrredón,"Latitud: 33º 17´ 40´´ - Longitud: 66º 17´ 24´´ - Depto.: Pueyrredon - Superficie 1,5 ha - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 %"
3/01/2022,La Florida,San Luis,28/12/2021,Activo,"33º 7´ 20,8´´ S","66º 0´ 41,2´´ O",Coronel Pringles,"Latitud: 33º 7´ 20,8´´ - Longitud: 66º 0´ 41,2´´ - Depto.: El Trapiche - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 % - BB. PL San Luis, BB.VV. La Punta, Ea. Grande, El Volcán, Trapiche, La Carolina, D.C. Trapiche, Bri For San Luís Solidario"
4/01/2022,La Florida,San Luis,28/12/2021,Extinguido (04/01/2022),"33º 7´ 20,8´´ S","66º 0´ 41,2´´ O",Coronel Pringles,"- Latitud: 33º 7´ 20,8´´ - Longitud: 66º 0´ 41,2´´ - Depto.: El Trapiche - Superficie 300,0 ha - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 % - BB.VV.Trapiche y D.C. MCP Trapiche."
6/01/2022,Las Chilcas,San Luis,5/01/2022,Contenido,32º 25´ 32´´ S,"65º 18´ 33,2´´ O",Chacabuco,"Latitud: 32º 25´ 32´´ - Longitud: 65º 18´ 33,2´´ - Depto.: Chacabuco - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 % - BB.VV. Los Molles, Merlo y BB. PL San Luís (Santa Rosa de Conlara)"
7/01/2022,Las Chilcas,San Luis,5/01/2022,Contenido,32º 25´ 32´´ S,"65º 18´ 33,2´´ O",Chacabuco,"Latitud: 32º 25´ 32´´ - Longitud: 65º 18´ 33,2´´ - Depto.: Chacabuco - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 % - BB.VV. Los Molles, Merlo y BB. PL San Luís (Santa Rosa de Conlara)"
10/01/2022,Las Chilcas,San Luis,5/01/2022,Extinguido (07/01/2022),32º 25´ 32´´ S,"65º 18´ 33,2´´ O",Chacabuco,"- Latitud: 32º 25´ 32´´ - Longitud: 65º 18´ 3 3,2´´ - Depto.: Ch acabuco - Bosqu e Nativo 33 % - Arb ustal/M atorral 33 % - Past izal 34 %"
11/01/2022,Toro Negro,San Luis,10/01/2022,Controlado,"32º 42´ 32,58´´ S","66º 20´ 38,8´´ O",Belgrano,"- Latitud: 32º 42´ 32, 58´ ´ - Longitu d: 66º 20´ 38 ,8´´ - D epto.: Belgr ano - B B.VV Villa Gral Roc a, Trapi ch e y Bri For Sa n Luís Sol idario"
12/01/2022,Toro Negro,San Luis,10/01/2022,Activo,"32º 42´ 32,58´´ S","66º 20´ 38,8´´ O",Belgrano,"- Latitud: 32º 42´ 32,58´´ - Long itud : 66º 20´ 38,8´´ - Dept o.: Bel grano - Bos que Nativo 50 % - Arbustal/Matorral 50 % - B B.VV. Villa Gral R oca, L a Punta, V illa de la Quebrada, El Volán, San Fra ncis co, Br i For San Luís S olidario y BB. PL San Luís (Cuartel N°2)"
12/01/2022,Los Cajones,San Luis,11/01/2022,Contenido,"32º 3´ 32,8´´ S","65º 25´ 27,9´´ O",Junín,"- Latitud: 32º 3´ 32,8´´ - Longitu d: 6 5º 25 ´ 27,9´´ - Depto.: Junín - Superficie 10,0 ha - Bosque N ativo 50 % - Arbu stal /Mato rral 50 % - BB.V V. Lafin ur, Quines , Los Molles, Santa Rosa de Conlara, Via lidad Provincial, y BB. PL Sa n Luís (Cu artel N°3)."
12/01/2022,El Tambo,San Luis,11/01/2022,Contenido,32º 44´ 0´´ S,"65º 27´ 47,6´´ O",Chacabuco,"- Latitud: 32º 44´ 0´´ - Longitud: 65 º 27´ 4 7,6´´ - Depto.: C hacab uco - Supe rficie 0,5 ha - BB.V V. Concarán, Ren ca, Nasch el y Los Molles."
