fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones
16/07/2026,Estancia Grasnde - Bajo el Durazno,San Luis,15/07/2026,Activo,33° 5' 13.20'' S,66° 8' 52.80'' O,Coronel Pringles,"Latitud: 33° 5' 13.20'' S, Longitud: 66° 8' 52.80'' O. - Depto.: Coronel Pringles. Superficie: 2,50. Pastizal: 100%. [ Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 3. ]"
17/07/2026,Estancia Grasnde - Bajo el Durazno,San Luis,15/07/2026,Activo,33° 5' 13.20'' S,66° 8' 52.80'' O,Coronel Pringles,"Latitud: 33° 5' 13.20'' S, Longitud: 66° 8' 52.80'' O. - Depto.: Coronel Pringles. Superficie: 2,50. Pastizal: 100%. [ Institución: snmf. Institución: 7 BNC, 1 Coord Reg (DNOYL) y 1 Asec Area Téc (DNPYM) AFE. Tipo: rrhh. ] [ Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 3. ] [ Institución: snmf. Institución: 3 AT 802, Bell 407 c/Helibalde, 1 Bell 412 C/Helibalde. Tipo: aereo. ] INTERFAZ"
18/07/2026,Estancia Grasnde - Bajo el Durazno,San Luis,15/07/2026,Activo,33° 5' 13.20'' S,66° 8' 52.80'' O,Coronel Pringles,"Latitud: 33° 5' 13.20'' S, Longitud: 66° 8' 52.80'' O. - Depto.: Coronel Pringles. Superficie: 250,00. Pastizal: 100%. [ Institución: snmf. Institución: 7 BNC, 1 Coord Reg (DNOYL) y 1 Asec Area Téc (DNPYM) AFE. Tipo: rrhh. ] [ Institución: otros. Institución: 93 BB.VV., BB. PL San Luís, Bri For DPyGE, etc.. Tipo: rrhh. ] [ Institución: snmf. Institución: 2 AT 802, 1 Bell 412 C/Helibalde. Tipo: aereo. ] INTERFAZ"
19/07/2026,Estancia Grasnde - Bajo el Durazno,San Luis,15/07/2026,Contenido,33° 5' 13.20'' S,66° 8' 52.80'' O,Coronel Pringles,"Latitud: 33° 5' 13.20'' S, Longitud: 66° 8' 52.80'' O. - Depto.: Coronel Pringles. Superficie: 250,00. Pastizal: 100%. [ Institución: snmf. Institución: 7 BNC, 1 Coord Reg (DNOYL) y 1 Asec Area Téc (DNPYM) AFE. Tipo: rrhh. ] [ Institución: otros. Institución: 93 BB.VV., BB. PL San Luís, Bri For DPyGE, etc.. Tipo: rrhh. ] [ Institución: snmf. Institución: 2 AT 802, 1 Bell 412 C/Helibalde. Tipo: aereo. ] INTERFAZ"
20/07/2026,Estancia Grasnde - Bajo el Durazno,San Luis,15/07/2026,Contenido,33° 5' 13.20'' S,66° 8' 52.80'' O,Coronel Pringles,"Latitud: 33° 5' 13.20'' S, Longitud: 66° 8' 52.80'' O. - Depto.: Coronel Pringles. Superficie: 250,00. Pastizal: 100%. [ Institución: snmf. Institución: 7 BNC, 1 Coord Reg (DNOYL) y 1 Asec Area Téc (DNPYM) AFE. Tipo: rrhh. ] [ Institución: otros. Institución: 93 BB.VV., BB. PL San Luís, Bri For DPyGE, etc.. Tipo: rrhh. ] [ Institución: snmf. Institución: 2 AT 802, 1 Bell 412 C/Helibalde. Tipo: aereo. ] INTERFAZ"
21/07/2026,Estancia Grasnde - Bajo el Durazno,San Luis,15/07/2026,Contenido,33° 5' 13.20'' S,66° 8' 52.80'' O,Coronel Pringles,"Latitud: 33° 5' 13.20'' S, Longitud: 66° 8' 52.80'' O. - Depto.: Coronel Pringles. Superficie: 5650,50. Pastizal: 100%. [ Institución: snmf. Institución: 7 BNC, 1 Coord Reg (DNOYL) y 1 Asec Area Téc (DNPYM) AFE. Tipo: rrhh. ] [ Institución: otros. Institución: 93 BB.VV., BB. PL San Luís, Bri For DPyGE, etc.. Tipo: rrhh. ] [ Institución: snmf. Institución: 2 AT 802, 1 Bell 412 C/Helibalde. Tipo: aereo. ] INTERFAZ"
22/07/2026,Estancia Grasnde - Bajo el Durazno,San Luis,15/07/2026,Extinguido (22/07/2026),33° 5' 13.20'' S,66° 8' 52.80'' O,Coronel Pringles,"Latitud: 33° 5' 13.20'' S, Longitud: 66° 8' 52.80'' O. - Depto.: Coronel Pringles. Superficie: 5650,50. Pastizal: 100%. [ Institución: snmf. Institución: 7 BNC, 1 Coord Reg (DNOYL) y 1 Asec Area Téc (DNPYM) AFE. Tipo: rrhh. ] [ Institución: otros. Institución: 93 BB.VV., BB. PL San Luís, Bri For DPyGE, etc.. Tipo: rrhh. ] [ Institución: snmf. Institución: 2 AT 802, 1 Bell 412 C/Helibalde. Tipo: aereo. ] INTERFAZ"
