fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones
27/02/2025,Detecció 4 - Concaran,San Luis,21/02/2025,Contenido,32° 34' 7.00'' S,65° 12' 36.80'' O,Chacabuco,"Latitud: 32° 34' 7.00'' S, Longitud: 65° 12' 36.80'' O. - Depto.: Chacabuco. [ Institución: otros. Institución: Polcía Ecológica y Ambiental. Tipo: rrhh. ]"
27/02/2025,Detección 1 - Unión,San Luis,21/02/2025,Contenido,35° 40' 48.00'' S,65° 58' 12.00'' O,Gobernador Dupuy,"Latitud: 35° 40' 48.00'' S, Longitud: 65° 58' 12.00'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión. Tipo: rrhh. Subtipo: bomberos. ]"
27/02/2025,Detección 2 - Los Cedros,San Luis,21/02/2025,Contenido,34° 7' 12.00'' S,65° 35' 60.00'' O,General Pedernera,"Latitud: 34° 7' 12.00'' S, Longitud: 65° 35' 60.00'' O. - Depto.: General Pedernera. [ Institución: otros. Institución: BB.VV. Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
27/02/2025,Detección 3 - Arizona,San Luis,21/02/2025,Contenido,35° 45' 44.08'' S,65° 15' 58.79'' O,Gobernador Dupuy,"Latitud: 35° 45' 44.08'' S, Longitud: 65° 15' 58.79'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Buena Esperanza. Tipo: rrhh. Subtipo: bomberos. ]"
27/02/2025,Marrín de Loyola,San Luis,23/02/2025,Contenido,35° 15' 45.29'' S,66° 3' 40.32'' O,Gobernador Dupuy,"Latitud: 35° 15' 45.29'' S, Longitud: 66° 3' 40.32'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión, Buena Esperanza, Batavia, Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
28/02/2025,Detecció 4 - Concaran,San Luis,21/02/2025,Extinguido (28/02 /2025),32° 34' 7.00'' S,65° 12' 36.80'' O,Chacabuco,"Latitud: 32° 34' 7.00'' S, Longitud: 65° 12' 36.80'' O. - Depto.: Chacabuco. [ Institución: otros. Institución: Polcía Ecológica y Ambiental. Tipo: rrhh. ]"
28/02/2025,Detección 1 - Unión,San Luis,21/02/2025,Extinguido (28/02 /2025),35° 40' 48.00'' S,65° 58' 12.00'' O,Gobernador Dupuy,"Latitud: 35° 40' 48.00'' S, Longitud: 65° 58' 12.00'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión. Tipo: rrhh. Subtipo: bomberos. ]"
28/02/2025,Detección 2 - Los Cedros,San Luis,21/02/2025,Extinguido (28/02 /2025),34° 7' 12.00'' S,65° 35' 60.00'' O,General Pedernera,"Latitud: 34° 7' 12.00'' S, Longitud: 65° 35' 60.00'' O. - Depto.: General Pedernera. [ Institución: otros. Institución: BB.VV. Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
28/02/2025,Detección 3 - Arizona,San Luis,21/02/2025,Extinguido (28/02 /2025),35° 45' 44.08'' S,65° 15' 58.79'' O,Gobernador Dupuy,"Latitud: 35° 45' 44.08'' S, Longitud: 65° 15' 58.79'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Buena Esperanza. Tipo: rrhh. Subtipo: bomberos. ]"
28/02/2025,Marrín de Loyola,San Luis,23/02/2025,Extinguido (28/02 /2025),35° 15' 45.29'' S,66° 3' 40.32'' O,Gobernador Dupuy,"Latitud: 35° 15' 45.29'' S, Longitud: 66° 3' 40.32'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión, Buena Esperanza, Batavia, Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
13/08/2025,El Volcán,San Luis,13/08/2025,Extinguido,33° 14' 33.74'' S,66° 10' 29.32'' O,Juan Martín de Pueyrredón,"Latitud: 33° 14' 33.74'' S, Longitud: 66° 10' 29.32'' O. - Depto.: Juan Martín de Pueyrredón. Superficie: 2,00. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. El Volcán y Potrero de Los Funes. Tipo: rrhh. Subtipo: bomberos. ]"
13/08/2025,Pasos Malos,San Luis,13/08/2025,Contenido,32° 19' 58.00'' S,64° 59' 27.80'' O,Junín,"Latitud: 32° 19' 58.00'' S, Longitud: 64° 59' 27.80'' O. - Depto.: Junín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Merlo, Carpintería, Los Molles, San Pablo, Tilisarao. Tipo: rrhh. Subtipo: bomberos."
14/08/2025,Pasos Malos,San Luis,13/08/2025,Extinguido (14/08 /2025),32° 19' 58.00'' S,64° 59' 27.80'' O,Junín,"Latitud: 32° 19' 58.00'' S, Longitud: 64° 59' 27.80'' O. - Depto.: Junín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Merlo. Tipo: rrhh. Subtipo: bomberos. ]"
15/08/2025,Pasos Malos,San Luis,13/08/2025,Extinguido (15/08 /2025),32° 19' 58.00'' S,64° 59' 27.80'' O,Junín,"Latitud: 32° 19' 58.00'' S, Longitud: 64° 59' 27.80'' O. - Depto.: Junín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Merlo. Tipo: rrhh. Subtipo: bomberos. ]"
