fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones
2/01/2023,"Los Pocitos, Ruta 47 Y 3",San Luis,22/12/2022,Extinguido (30/12/2022),35° 37' 9'' S,65° 25' 22'' O,Gobernador Dupuy,"- Latitud: 35 º 37´ 9´´ - Lo ngitud: 65º 25´ 22´´ - P tos. de R eferencia: P or Ruta 40 Km de U nión - Depto.: Gobernador D upuy - Superficie 38.588,0 h a - Bosq Nativo 33 % - Arb ustal/Ma torral 33 % - P astizal 34 % - BB .VV. Unión , Buena Esperanza, Justo Daract, La Toma, El F ortín y B ri For Sa n Luis Solid ario"
2/01/2023,Ingreso Dique Potrero De Los Funes,San Luis,30/12/2022,Extinguido (31/12/2022),34° 14' 4'' S,66° 14' 12.6'' O,Gobernador Dupuy,"- Latitud: 34 º 14´ 4´´ - Lo ngitud: 66º 14´ 12,6´´ - Depto.: G obernador Dupuy - Bosque Nat ivo 33 % - Arb ustal/Matorral 33 % - Pastizal 3 4 % - BB.V V. Potrer de Los Fune s"
2/01/2023,Estancia La Madrugada,San Luis,1/01/2023,Contenido,35° 8' 57'' S,65° 57' 57.3'' O,Gobernador Dupuy,"- Latitud: 35 º 8´ 5 7´´ - Lo ngitud: 65º 57´ 57,3´´ - Ptos. de Referencia: Por Rut 188, rumbo a Men doza, a 20 Km del Cu artel de Unión - D epto.: Gob ernador Dupuy - Sup erfici e 500,0 ha - Causa ori gen del i ncendio: Rayo - BBV V Unión"
2/01/2023,Campo La Gama,San Luis,30/12/2022,Extinguido (31/12/2022),34° 18' 52.6'' S,65° 28' 3.5'' O,General Pedernera,"- Latitud: 34 º 18´ 52,6´´ - Longitud: 65º 28´ 3,5´´ - Ptos. d e Referenci a: Antes llegar a la E a. La Angelin a, por AU 55 a mano d erecha - Depto.: Ped ernera - Superficie 4 00,0 h a - Bos que Nativo 33 % - Arbu stal/Mato rral 33 % - Pastizal % - BB.VV. Unión , Buena Esperanza."
3/01/2023,Estancia La Madrugada,San Luis,1/01/2023,Controlado,35° 8' 57'' S,65° 57' 57.3'' O,Gobernador Dupuy,"- Latitud: 35º 8´ 57´´ - Longitud: 65º 57´ 57,3´´ - Ptos. de Referencia: Por Ruta 188, rumbo a Mendoza, a 20 Km del Cuartel de Unión - Depto.: Gobernador Dupuy - Superficie 500,0 ha - Causa origen del incendio: Rayo - BBVV Unión"
4/01/2023,Estancia El Recuerdo,San Luis,3/01/2023,Controlado,34° 40' 0'' S,66° 16' 0'' O,Gobernador Dupuy,- Latitud: 34º 40´ 0´´ - Longi tud: 66º 1 6´ 0´´ - D epto.: Gob ernador Du puy - Bosque Nativo 33 % - Arbus tal/Matorr al 33 % - Pastizal 3 4 % - Perso nal del establecimiento
4/01/2023,Estancia La Madrugada,San Luis,3/01/2023,Extinguido (03/01/2023),35° 13' 35.5'' S,66° 17' 39.7'' O,Gobernador Dupuy," - Latitud: 35º 8´ 57´´ - Longitud: 65º 57´ 57,3´´ - Ptos. de Referencia: Por Ruta 188, rumbo a Mendoza, a 20 Km del Cuartel de Unión - Depto.: Gobernador Dupuy - Superficie 500,0 ha - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 % - Causa origen del incendio: Rayo - BBVV Unión"
4/01/2023,Campo Garcia,San Luis,3/01/2023,Extinguido (03/01/2023),35° 13' 35.5'' S,66° 17' 39.7'' O,Gobernador Dupuy," - Latitud: 35º 13´ 35,5´´ - Longitud: 66º 17´ 39,7´´ - Depto.: Gobernador Dupuy - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 %"
5/01/2023,Estancia El Recuerdo,San Luis,3/01/2023,Controlado,34° 40' 0'' S,66° 16' 0'' O,Gobernador Dupuy,- Latitud: 34º 40´ 0´´ - Longitud: 66º 1 6´ 0´´ - Depto.: Gobern ador Du puy - Bosque Nativo 33 % - Arbustal/Mator ral 33 % - Pasti zal 34 % - Perso nal del establecimiento
6/01/2023,Estancia El Recuerdo,San Luis,3/01/2023,Extinguido (5/1/2023),34° 40' 0'' S,66° 16' 0'' O,Gobernador Dupuy,- Latitud: 34º 40´ 0´´ - Longitud: 66º 16´ 0´´ - Depto.: Gobernador Dupuy - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 % - Personal del establecimiento
9/01/2023,Estancia Valle Hermoso,San Luis,8/01/2023,Contenido,35° 52' 46.1'' S,65° 59' 21.1'' O,Gobernador Dupuy," - Latitud: 35º 52´ 46,1´´ - Longitud: 65º 59´ 21,1´´ - Ptos. de Referencia: Al Sur de Unión, a unos kilometros de Martín Loyola - Depto.: Gobernador Dupuy - Bosque Nativo 33 % - Arbustal/Matorral 33 % - Pastizal 34 % - BB.VV. Unión, Buena Esperanza y Justo Daract "
7/02/2023,Estancia Camping Punta Del Sol,San Luis,5/02/2023,Controlado,33° 7' 14.2'' S,66° 1' 2.1'' O,Coronel Pringles," - Latitud: 33º 7´ 14,2´´ - Longitud: 66º 1´ 2,1´´ - Depto.: Coronel Pringles - Superficie 2,0 ha - Bosque Nativo 34 % - Arbustal/Matorral 33 % - Pastizal 33 % - BB.VV. El Trapiche y D.C. MCP El Trapiche"
8/02/2023,Estancia Camping Punta Del Sol,San Luis,5/02/2023,Extinguido,33° 7' 14.2'' S,66° 1' 2.1'' O,Coronel Pringles,"Latitud: 33º 7´ 14,2´´ - Longitud: 66º 1´ 2,1´´ - Depto.: Coronel Pringles - CAMPING PUNTA (07/02/2023) Superficie 2,0 ha - Bosque Nativo 34 % - Arbustal/Matorral 33 % - Pastizal 33 % - DEL SOL BB.VV. El Trapiche y D.C. MCP El Trapiche"
10/02/2023,Estancia El Arbolito,San Luis,5/02/2023,Extinguido (10/2/2023),35° 32' 39.1'' S,66° 10' 24.7'' O,Gobernador Dupuy,"- Latitud: 35º 32´ 39,1´´ - Longitud: 66º 10´ 24,7´´ - Depto.: Gobernador Dupuy - Superficie 1.400,0 ha - Bosque Nativo 34 % - Arbustal/Matorral 33 % - Pastizal 33 % "
27/02/2023,Quebrada Del Rio Gomez,San Luis,26/02/2023,Activo,32° 35' 51'' S,66° 4' 58.5'' O,Ayacucho,"- Latitud: 32º 35´ 51´´ - Longitud: 66º 4´ 58,5´´ - Depto.: Ayacucho - Bosque Nativo 34 % - Arbustal/Matorral 33 % - Pastizal 33 % "
28/02/2023,Quebrada Del Rio Gomez,San Luis,26/02/2023,Activo,32° 35' 51'' S,66° 4' 58.5'' O,Ayacucho,"- Latitud: 32º 35´ 51´´ - Longitud: 6 6º 4´ 58,5´´ - Depto.: Ayac ucho - Bosq Nativo 34 % - Arbustal/Matorral 33 % - Pastizal 33 %"
