fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones,,
5/09/2024,Mesilla del Cura,San Luis,2/09/2024,Activo,32° 32' 47.76'' S,65° 48' 47.52'' O,Libertador General San Martín,"Latitud: 32° 32' 47.76'' S, Longitud: 65° 48' 47.52'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: Bomberos de Policia. Tipo: rrhh. Subtipo: policia_provincial. Cantidad: 11. ] [ Institución: otros. Institución: El Trapiche, La Carolina, San Francisco Del Monte De Oro, Lafinur-Los Cajones, Los Molles, Renca, San Martin, Tilisarao. Tipo: rrhh. Subtipo: bomberos. ] Dpto San Martín",,
5/09/2024,Paso Grande,San Luis,3/09/2024,Activo,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: Brigadistas BNC. Tipo: rrhh. Subtipo: otros. Cantidad: 9. ] [ Institución: otros. Institución: Bomberos de la Policía. Tipo: rrhh. Subtipo: policia_provincial. Cantidad: 11. ] [ Institución: otros. Institución: San Francisco Del Monte De Oro, San Luis, El Morro, Justo Daract, La Toma, Los Molles, Merlo, Naschel, Tilisarao, Villa Larca. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: otros. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. ] Dpto San Martín",,
5/09/2024,Zona Balcarce,San Luis,4/09/2024,Extinguido (05/09 /2024),32° 33' 0.69'' S,65° 0' 4.89'' O,Chacabuco,"Latitud: 32° 33' 0.69'' S, Longitud: 65° 0' 4.89'' O. - Depto.: Chacabuco. Superficie: 1,00. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV. Cortaderas. Tipo: rrhh. Subtipo: bomberos. ] Dpto Chacabuco",,
6/09/2024,Mesilla del Cura,San Luis,2/09/2024,Activo,32° 32' 47.76'' S,65° 48' 47.52'' O,Libertador General San Martín,"Latitud: 32° 32' 47.76'' S, Longitud: 65° 48' 47.52'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Tipo: rrhh. Subtipo: policia_provincial. Cantidad: 11. ] [ Institución: otros. Institución: El Trapiche, La Carolina, San Francisco Del Monte De Oro, Lafinur-Los Cajones, Los Molles, Renca, San Martin, Tilisarao. Tipo: rrhh. Subtipo: bomberos. ]",,
6/09/2024,Paso Grande,San Luis,3/09/2024,Activo,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: SNMF Brigadistas BNC. Tipo: rrhh. Subtipo: otros. Cantidad: 9. ] [ Institución: otros. Institución: Bomberos de Policia. Tipo: rrhh. Subtipo: policia_provincial. Cantidad: 11. ] [ Institución: otros. Institución: San Francisco Del Monte De Oro, San Luis, El Morro, Justo Daract, La Toma, Los Molles, Merlo, Naschel, Tilisarao, Villa Larca. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. ]",,
7/09/2024,Mesilla del Cura,San Luis,2/09/2024,Guardia de cenizas,32° 32' 47.76'' S,65° 48' 47.52'' O,Libertador General San Martín,"Latitud: 32° 32' 47.76'' S, Longitud: 65° 48' 47.52'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: Bomberos de la Policía. Tipo: rrhh. Subtipo: policia_provincial. Cantidad: 11. ] [ ]",,
7/09/2024,Paso Grande,San Luis,3/09/2024,Contenido,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: Brigadistas BNC. Tipo: rrhh. Subtipo: otros. Cantidad: 10. ] [ Institución: otros. Institución: Bomberos de la Policía. Tipo: rrhh. Subtipo: policia_provincial. Cantidad: 11. ] [ Institución: otros. Institución: Bomberos San Francisco Del Monte De Oro, San Luis, El Morro, Justo Daract, La Toma, Los Molles, Merlo, Naschel, Tilisarao, Villa Larca. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. ]",,
8/09/2024,Mesilla del Cura,San Luis,2/09/2024,Guardia de cenizas,32° 32' 47.76'' S,65° 48' 47.52'' O,Libertador General San Martín,"Latitud: 32° 32' 47.76'' S, Longitud: 65° 48' 47.52'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
8/09/2024,Paso Grande,San Luis,3/09/2024,Guardia de cenizas,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BBVV La Toma, Quines. Tipo: rrhh. Subtipo: bomberos. ]",,
9/09/2024,Mesilla del Cura,San Luis,2/09/2024,Extinguido (09/09 /2024),32° 32' 47.76'' S,65° 48' 47.52'' O,Libertador General San Martín,"Latitud: 32° 32' 47.76'' S, Longitud: 65° 48' 47.52'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
